c_elementvalue_id;ad_client_id;ad_org_id;isactive;created;createdby;updated;updatedby;value;name;description;accounttype;accountsign;isdoccontrolled;c_element_id;issummary;validfrom;validto;postactual;postbudget;postencumbrance;poststatistical;isbankaccount;c_bankaccount_id;isforeigncurrency;c_currency_id;showelement;showvaluecond;elementlevel;nomanualacct;datevuseauto
A5272273A3C44B3C72BD0CDE340B5;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;30;Aufw.f.d.Ingangsetzen e.Betr.;Aufw.f.d.Ingangsetzen e.Betr.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B6;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;40;Aufw.f.d.Erweitern e.Betriebes;Aufw.f.d.Erweitern e.Betriebes;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B7;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;90;Kum.Afa f.Ingangs.u.Erw.e.Betriebes;Kum.Afa f.Ingangs.u.Erw.e.Betriebes;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B8;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;100;Konzessionen;Konzessionen;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B9;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;110;Patentrechte;Patentrechte;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B10;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;115;Lizenzen;Lizenzen;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B11;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;120;Datenverarbeitungsprogramme;Datenverarbeitungsprogramme;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B12;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;130;Vorteile;Vorteile;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B13;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;140;Marken,Warenz.u.Musterschutzrecht;Marken,Warenz.u.Musterschutzrecht;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B14;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;150;Urheberrechte;Urheberrechte;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B15;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;160;Pacht- und Mietrechte;Pacht- und Mietrechte;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B16;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;165;Baurecht gem. § 19 (1b);Baurecht gem. § 19 (1b);A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B17;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;170;Geschäfts(Firmen)wert;Geschäfts(Firmen)wert;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B18;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;180;Anz.a.Immat.Vermögensgegenst.;Anz.a.Immat.Vermögensgegenst.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B19;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;190;Kumulierte Afa Immat.Verm.gegenst.;Kumulierte Afa Immat.Verm.gegenst.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B20;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;200;Unbebaute Grundstücke;Unbebaute Grundstücke;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B21;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;205;Grundstücke gem. § 19 (1b);Grundstücke gem. § 19 (1b);A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
