Konto;Kontobeschriftung;SprachId;Kontenrahmen
1;Business start-up, expansion expenses;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
5;Unpaid and due shares in co-operatives;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
10;Purchased concessions and rights;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
15;Concessions;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
20;Industrial rights;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
25;Other rights and assets;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
27;Computer software;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
30;Licenc. in industr. rights and assets;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
35;Goodwill;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
38;Prepayments for goodwill;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
39;Prepymts. for intangible fixed assets;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
40;Merger surplus;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
43;Internally generated intngbl fxd assets;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
44;Computer software;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
45;Licences and franchise agreements;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
46;Concessions and industrial rights;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
47;Recipes, formulas, processes, prototyp.;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
48;Intngbl fixed assets under development;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
50;Land/land rights/bldgs, on 3rd-p.land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
59;Share of land attr. to home office;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
60;Land rights without buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
65;Undeveloped land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
70;Land rights;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
75;Impaired land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
79;Prepayments on land without buildgs;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
80;Buildings on own land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
85;Property values of developed land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
90;Commercial buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
100;Industrial buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
110;Garages;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
111;Outdoor facilities;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
112;Paved courtyards / other paved surfaces;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
113;Fixtures in comm./industrial buildgs.;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
115;Other buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
120;Comm./industr./other buildgs udr. constr;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
129;Prepayments on buildgs. on own land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
140;Residential buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
145;Garages;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
146;Outdoor facilities;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
147;Paved courtyards / other paved surfaces;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
148;Fixtures in residential buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
149;Share of building attr. to home office;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
150;Residential buildgs. under construction;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
159;Prepaym. resident. buildgs. on own land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
160;Buildings on third-party land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
165;Commercial buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
170;Industrial buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
175;Garages;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
176;Outdoor facilities;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
177;Paved courtyards / other paved surfaces;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
178;Fixtures in comm. / industrial buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
179;Other buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
180;Comm./industr./other buildgs udr. constr;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
189;Prepaym. buildings on 3-rd-party land;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
190;Residential buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
191;Garages;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
192;Outdoor facilities;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
193;Paved courtyards / other paved surfaces;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
194;Fixtures in residential buildings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
195;Residential buildgs. under construction;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
199;Prepayments on bldgs. on 3-rd-party;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
200;Technical equipment and machinery;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
210;Machinery;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
220;Machine tools;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
240;Plant;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
260;Transportation and similar systems;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
280;Operating facilities;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
290;Technical equipm. / machin. udr. constr.;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
299;Prepymts on tech. equip. and machinery;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
300;Operating and office equipment;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
310;Other equipment;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
320;Passenger cars;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
350;Heavy goods vehicles;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
380;Other transportation resources;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
400;Operating equipment;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
410;Office equipment;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
420;Office fittings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
430;Shop fittings;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
440;Tools;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
450;Improvements;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
460;Scaffolding / formwork materials;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
480;Low-value assets;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
485;Assets (collective item);en_US;C76385D3874B4775B28CEC5ECBCE1E5B
490;Other operating and office equipment;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
498;Operating / office equipm. (coll. item);en_US;C76385D3874B4775B28CEC5ECBCE1E5B
499;Prepayments on operat./office equ.;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
500;Shares in affil. compan. (fixed ass.);en_US;C76385D3874B4775B28CEC5ECBCE1E5B
501;Shares in affiliated comp., partnerships;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
502;Shares in affiliated comp., corporations;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
503;Shares in parent or maj. invt., corp.;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
504;Shares in parent or in majority investor;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
505;Loans to affiliated companies;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
506;Loans to affiliated comp., partnerships;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
507;Loans to affiliated comp., corporations;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
508;Loans to affiliated comp., sole prop.;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
509;Shares in majority investor, partnersh.;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
510;Other long-term equity investments;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
513;Typical silent partnerships;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
516;Atypical silent partnerships;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
517;Investments in corporations;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
518;Investments in partnerships;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
519;Invsmt by GmbH & Co KG in gen prtnr GmbH;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
520;Loans to long-term investees/investors;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
523;Loans to other l-t inv., partnerships;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
524;Loans to other l-t inv., corporations;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
525;Long-term securities;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
530;Secur. with profit participation rights;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
535;Fixed-income securities;en_US;C76385D3874B4775B28CEC5ECBCE1E5B
